Species,Life stage,Life style,Taxonomic group,Host species,Lake,Season,Number of samples,Minimum sample size,Maximum sample size,Total sample size,Log total sample size,Body mass (mg),Log body mass,Mean density (m²),Log mean,SD,SD/Mean,Variance,Log variance
Lymnaeid,Ad,Free-living,Mollusc,,Hayes,January,24,0,5,14,1.1461280357,25.004625,1.3980203457,1.5,0.176091259,3.134658986,2.089772657,9.826086957,0.992380603
Mesostigmata sp,Ad,Free-living,Mite,,Hayes,September,24,0,1,1,0,0.5817792,-0.23524181,0.083333333,-1.079181246,0.40824829,4.898979486,0.166666667,-0.77815125
Naididae,Ad,Free-living,Annelid,,Tuakitoto,September,24,0,10,14,1.1461280357,13.29423751,1.1236634335,5.833333333,0.765916794,21.04171151,3.607150544,442.7536232,2.646162124
Naididae,Ad,Free-living,Annelid,,Tuakitoto,May,24,0,7,26,1.414973348,13.29423751,1.1236634335,10.83333333,1.034762106,18.63065885,1.719753125,347.1014493,2.540456427
Naididae,Ad,Free-living,Annelid,,Tuakitoto,January,24,0,27,77,1.8864907252,13.29423751,1.1236634335,32.08333333,1.506279484,66.26555054,2.065419757,4391.123188,3.642575621
Nauplii,L,Free-living,Crustacean,,Tomahawk,May,16,0,2,5,0.6989700043,0.000969657,-3.013381863,0.625,-0.204119983,1.408308678,2.253293885,1.983333333,0.297395711
Nauplii,L,Free-living,Crustacean,,Waihola,May,16,0,3,8,0.903089987,0.000969657,-3.013381863,1,0,1.788854382,1.788854382,3.2,0.505149978
Nauplii,L,Free-living,Crustacean,,Waihola,January,16,0,31,142,2.1522883444,0.000969657,-3.013381863,17.75,1.249198357,17.99073836,1.013562724,323.6666667,2.510097975
Nauplii,L,Free-living,Crustacean,,Tuakitoto,September,16,0,43,157,2.1958996524,0.000969657,-3.013381863,19.625,1.292809665,25.72903677,1.311033721,661.9833333,2.820847055
Nauplii,L,Free-living,Crustacean,,Tuakitoto,May,16,0,51,224,2.3502480183,0.000969657,-3.013381863,28,1.447158031,26.29068276,0.938952956,691.2,2.83960373
Nauplii,L,Free-living,Crustacean,,Hayes,May,16,4,151,882,2.9454685851,0.000969657,-3.013381863,110.25,2.042378598,101.5214263,0.920829264,10306.6,4.013115421
Nauplii,L,Free-living,Crustacean,,Tuakitoto,January,16,20,231,1502,3.1766699327,0.000969657,-3.013381863,187.75,2.273579946,123.2836837,0.656637463,15198.86667,4.181811205
Nauplii,L,Free-living,Crustacean,,Tomahawk,January,16,3,408,1646,3.2164298309,0.000969657,-3.013381863,205.75,2.313339844,246.2420219,1.19680205,60635.13333,4.782724337
Nauplii,L,Free-living,Crustacean,,Tomahawk,September,16,85,528,4539,3.6569601827,0.000969657,-3.013381863,567.375,2.753870196,241.071739,0.424889604,58115.58333,4.764292601
