BY,Species,Stock,Region,Area,Spawners,Recruits,ID
1983,Sockeye,Early Stuart,Fraser,South,23.87,188.9,SockeyeEarly StuartFraserSouth
1984,Sockeye,Early Stuart,Fraser,South,45.2,242.04,SockeyeEarly StuartFraserSouth
1985,Sockeye,Early Stuart,Fraser,South,234.22,1208.88,SockeyeEarly StuartFraserSouth
1986,Sockeye,Early Stuart,Fraser,South,28.58,145.94,SockeyeEarly StuartFraserSouth
1987,Sockeye,Early Stuart,Fraser,South,148.19,525.92,SockeyeEarly StuartFraserSouth
1988,Sockeye,Early Stuart,Fraser,South,179.81,379.93,SockeyeEarly StuartFraserSouth
1989,Sockeye,Early Stuart,Fraser,South,384.8,1138.82,SockeyeEarly StuartFraserSouth
1990,Sockeye,Early Stuart,Fraser,South,97.04,166.1,SockeyeEarly StuartFraserSouth
1991,Sockeye,Early Stuart,Fraser,South,141.12,144.29,SockeyeEarly StuartFraserSouth
1992,Sockeye,Early Stuart,Fraser,South,65.62,98.47,SockeyeEarly StuartFraserSouth
1993,Sockeye,Early Stuart,Fraser,South,687.97,1814.49,SockeyeEarly StuartFraserSouth
1994,Sockeye,Early Stuart,Fraser,South,29.83,29.03,SockeyeEarly StuartFraserSouth
1995,Sockeye,Early Stuart,Fraser,South,122.71,189.61,SockeyeEarly StuartFraserSouth
1996,Sockeye,Early Stuart,Fraser,South,87.57,464.65,SockeyeEarly StuartFraserSouth
1997,Sockeye,Early Stuart,Fraser,South,265.7,-1,SockeyeEarly StuartFraserSouth
1998,Sockeye,Early Stuart,Fraser,South,32.57,-1,SockeyeEarly StuartFraserSouth
1952,Sockeye,Gates,Fraser,South,7.07,38,SockeyeGatesFraserSouth
1953,Sockeye,Gates,Fraser,South,0.07,7.89,SockeyeGatesFraserSouth
1954,Sockeye,Gates,Fraser,South,0.05,0.7,SockeyeGatesFraserSouth
1955,Sockeye,Gates,Fraser,South,0.08,2.51,SockeyeGatesFraserSouth
1956,Sockeye,Gates,Fraser,South,7.81,15.99,SockeyeGatesFraserSouth
1957,Sockeye,Gates,Fraser,South,0.89,1.16,SockeyeGatesFraserSouth
1958,Sockeye,Gates,Fraser,South,0.06,0.54,SockeyeGatesFraserSouth
1959,Sockeye,Gates,Fraser,South,0.58,10.53,SockeyeGatesFraserSouth
1960,Sockeye,Gates,Fraser,South,5.41,84.23,SockeyeGatesFraserSouth
1961,Sockeye,Gates,Fraser,South,0.25,14.59,SockeyeGatesFraserSouth
1962,Sockeye,Gates,Fraser,South,0.16,0.45,SockeyeGatesFraserSouth
1963,Sockeye,Gates,Fraser,South,4.11,8.33,SockeyeGatesFraserSouth
1964,Sockeye,Gates,Fraser,South,19.4,104.99,SockeyeGatesFraserSouth
1965,Sockeye,Gates,Fraser,South,1.64,2.5,SockeyeGatesFraserSouth
1966,Sockeye,Gates,Fraser,South,0.07,0.92,SockeyeGatesFraserSouth
1967,Sockeye,Gates,Fraser,South,1.14,6.92,SockeyeGatesFraserSouth
1968,Sockeye,Gates,Fraser,South,10.11,82.67,SockeyeGatesFraserSouth
1969,Sockeye,Gates,Fraser,South,0.78,4.77,SockeyeGatesFraserSouth
1970,Sockeye,Gates,Fraser,South,0.08,0.41,SockeyeGatesFraserSouth
1971,Sockeye,Gates,Fraser,South,0.43,12.65,SockeyeGatesFraserSouth
1972,Sockeye,Gates,Fraser,South,8.32,132.62,SockeyeGatesFraserSouth
1973,Sockeye,Gates,Fraser,South,0.8,12.53,SockeyeGatesFraserSouth
1974,Sockeye,Gates,Fraser,South,0.07,1.99,SockeyeGatesFraserSouth
1975,Sockeye,Gates,Fraser,South,1.98,22.41,SockeyeGatesFraserSouth
1976,Sockeye,Gates,Fraser,South,17.13,73.41,SockeyeGatesFraserSouth
1977,Sockeye,Gates,Fraser,South,2.58,21.32,SockeyeGatesFraserSouth
1978,Sockeye,Gates,Fraser,South,0.26,1.65,SockeyeGatesFraserSouth
1979,Sockeye,Gates,Fraser,South,3.83,18.27,SockeyeGatesFraserSouth
1980,Sockeye,Gates,Fraser,South,25.09,79.63,SockeyeGatesFraserSouth
1981,Sockeye,Gates,Fraser,South,4.67,18.13,SockeyeGatesFraserSouth
1982,Sockeye,Gates,Fraser,South,0.93,9.7,SockeyeGatesFraserSouth
1983,Sockeye,Gates,Fraser,South,7.38,28.1,SockeyeGatesFraserSouth
1984,Sockeye,Gates,Fraser,South,28.9,137.92,SockeyeGatesFraserSouth
1985,Sockeye,Gates,Fraser,South,4.58,131.96,SockeyeGatesFraserSouth
1986,Sockeye,Gates,Fraser,South,3.57,27.35,SockeyeGatesFraserSouth
1987,Sockeye,Gates,Fraser,South,9.42,27.83,SockeyeGatesFraserSouth
1988,Sockeye,Gates,Fraser,South,44.91,319.54,SockeyeGatesFraserSouth
1989,Sockeye,Gates,Fraser,South,16.96,52.59,SockeyeGatesFraserSouth
1990,Sockeye,Gates,Fraser,South,5.37,15.72,SockeyeGatesFraserSouth
1991,Sockeye,Gates,Fraser,South,9.04,22.74,SockeyeGatesFraserSouth
1992,Sockeye,Gates,Fraser,South,41.75,183.29,SockeyeGatesFraserSouth
1993,Sockeye,Gates,Fraser,South,17.95,83.14,SockeyeGatesFraserSouth
1994,Sockeye,Gates,Fraser,South,3.36,31.56,SockeyeGatesFraserSouth
1995,Sockeye,Gates,Fraser,South,7.18,23.4,SockeyeGatesFraserSouth
1996,Sockeye,Gates,Fraser,South,100.03,207.99,SockeyeGatesFraserSouth
1997,Sockeye,Gates,Fraser,South,6.5,-1,SockeyeGatesFraserSouth
1998,Sockeye,Gates,Fraser,South,7.25,-1,SockeyeGatesFraserSouth
1950,Sockeye,Horsefly,Fraser,South,0.4,2.05,SockeyeHorseflyFraserSouth
1951,Sockeye,Horsefly,Fraser,South,0.05,0.41,SockeyeHorseflyFraserSouth
1952,Sockeye,Horsefly,Fraser,South,0.18,0.56,SockeyeHorseflyFraserSouth
1953,Sockeye,Horsefly,Fraser,South,108.57,610.25,SockeyeHorseflyFraserSouth
1954,Sockeye,Horsefly,Fraser,South,0.28,10.69,SockeyeHorseflyFraserSouth
1955,Sockeye,Horsefly,Fraser,South,0.06,0.18,SockeyeHorseflyFraserSouth
1956,Sockeye,Horsefly,Fraser,South,0.08,2.55,SockeyeHorseflyFraserSouth
1957,Sockeye,Horsefly,Fraser,South,220.99,998.11,SockeyeHorseflyFraserSouth
1958,Sockeye,Horsefly,Fraser,South,1.8,3.41,SockeyeHorseflyFraserSouth
1959,Sockeye,Horsefly,Fraser,South,0.07,0.17,SockeyeHorseflyFraserSouth
1960,Sockeye,Horsefly,Fraser,South,0.29,1.48,SockeyeHorseflyFraserSouth
1961,Sockeye,Horsefly,Fraser,South,295.96,1240.89,SockeyeHorseflyFraserSouth
1962,Sockeye,Horsefly,Fraser,South,1.07,7.29,SockeyeHorseflyFraserSouth
1963,Sockeye,Horsefly,Fraser,South,0.08,0.96,SockeyeHorseflyFraserSouth
1964,Sockeye,Horsefly,Fraser,South,0.25,2.81,SockeyeHorseflyFraserSouth
1965,Sockeye,Horsefly,Fraser,South,359.37,1667.17,SockeyeHorseflyFraserSouth
1966,Sockeye,Horsefly,Fraser,South,1.61,7.46,SockeyeHorseflyFraserSouth
1967,Sockeye,Horsefly,Fraser,South,0.12,1.76,SockeyeHorseflyFraserSouth
1968,Sockeye,Horsefly,Fraser,South,0.7,0.5,SockeyeHorseflyFraserSouth
1969,Sockeye,Horsefly,Fraser,South,270.02,1640.76,SockeyeHorseflyFraserSouth
1970,Sockeye,Horsefly,Fraser,South,1.35,20.34,SockeyeHorseflyFraserSouth
1971,Sockeye,Horsefly,Fraser,South,0.17,0.75,SockeyeHorseflyFraserSouth
1972,Sockeye,Horsefly,Fraser,South,0.11,1.39,SockeyeHorseflyFraserSouth
1973,Sockeye,Horsefly,Fraser,South,253.39,2161.43,SockeyeHorseflyFraserSouth
1974,Sockeye,Horsefly,Fraser,South,4.46,21.22,SockeyeHorseflyFraserSouth
1975,Sockeye,Horsefly,Fraser,South,0.19,1.71,SockeyeHorseflyFraserSouth
1976,Sockeye,Horsefly,Fraser,South,0.3,1.23,SockeyeHorseflyFraserSouth
1977,Sockeye,Horsefly,Fraser,South,473.8,3878.52,SockeyeHorseflyFraserSouth
1978,Sockeye,Horsefly,Fraser,South,7.38,196.72,SockeyeHorseflyFraserSouth
1979,Sockeye,Horsefly,Fraser,South,0.51,6.01,SockeyeHorseflyFraserSouth
1980,Sockeye,Horsefly,Fraser,South,0.31,2.45,SockeyeHorseflyFraserSouth
1981,Sockeye,Horsefly,Fraser,South,682.52,9786.65,SockeyeHorseflyFraserSouth
1982,Sockeye,Horsefly,Fraser,South,36.01,555.54,SockeyeHorseflyFraserSouth
1983,Sockeye,Horsefly,Fraser,South,2.04,40.41,SockeyeHorseflyFraserSouth
1984,Sockeye,Horsefly,Fraser,South,0.89,6.95,SockeyeHorseflyFraserSouth
1985,Sockeye,Horsefly,Fraser,South,1113.17,12518.67,SockeyeHorseflyFraserSouth
1986,Sockeye,Horsefly,Fraser,South,150.64,2532.78,SockeyeHorseflyFraserSouth
1987,Sockeye,Horsefly,Fraser,South,16.8,176.59,SockeyeHorseflyFraserSouth
1988,Sockeye,Horsefly,Fraser,South,5.88,28.46,SockeyeHorseflyFraserSouth
1989,Sockeye,Horsefly,Fraser,South,1630.3,10639.37,SockeyeHorseflyFraserSouth
1990,Sockeye,Horsefly,Fraser,South,444.5,3294.61,SockeyeHorseflyFraserSouth
1991,Sockeye,Horsefly,Fraser,South,38.57,151.61,SockeyeHorseflyFraserSouth
1992,Sockeye,Horsefly,Fraser,South,5.86,27.79,SockeyeHorseflyFraserSouth
1993,Sockeye,Horsefly,Fraser,South,1895.42,6908.77,SockeyeHorseflyFraserSouth
1994,Sockeye,Horsefly,Fraser,South,557.18,2694.85,SockeyeHorseflyFraserSouth
1995,Sockeye,Horsefly,Fraser,South,178.91,167.19,SockeyeHorseflyFraserSouth
1996,Sockeye,Horsefly,Fraser,South,34.24,91.07,SockeyeHorseflyFraserSouth
1997,Sockeye,Horsefly,Fraser,South,1234.49,-1,SockeyeHorseflyFraserSouth
1998,Sockeye,Horsefly,Fraser,South,868.92,-1,SockeyeHorseflyFraserSouth
1950,Sockeye,Late Stuart,Fraser,South,5.84,39.68,SockeyeLate StuartFraserSouth
1951,Sockeye,Late Stuart,Fraser,South,4.36,63.81,SockeyeLate StuartFraserSouth
1952,Sockeye,Late Stuart,Fraser,South,0.04,3.97,SockeyeLate StuartFraserSouth
1953,Sockeye,Late Stuart,Fraser,South,368.63,1552.24,SockeyeLate StuartFraserSouth
1954,Sockeye,Late Stuart,Fraser,South,5.47,137.97,SockeyeLate StuartFraserSouth
1955,Sockeye,Late Stuart,Fraser,South,7.58,51.35,SockeyeLate StuartFraserSouth
1956,Sockeye,Late Stuart,Fraser,South,0.91,46.1,SockeyeLate StuartFraserSouth
1957,Sockeye,Late Stuart,Fraser,South,531.11,1329.88,SockeyeLate StuartFraserSouth
1958,Sockeye,Late Stuart,Fraser,South,23.62,54.68,SockeyeLate StuartFraserSouth
1959,Sockeye,Late Stuart,Fraser,South,8.23,7.39,SockeyeLate StuartFraserSouth
1960,Sockeye,Late Stuart,Fraser,South,2.4,9.62,SockeyeLate StuartFraserSouth
1961,Sockeye,Late Stuart,Fraser,South,410.89,778.48,SockeyeLate StuartFraserSouth
1962,Sockeye,Late Stuart,Fraser,South,18.64,45.07,SockeyeLate StuartFraserSouth
1963,Sockeye,Late Stuart,Fraser,South,3.22,12.05,SockeyeLate StuartFraserSouth
1964,Sockeye,Late Stuart,Fraser,South,1.82,3.1,SockeyeLate StuartFraserSouth
1965,Sockeye,Late Stuart,Fraser,South,214.94,1124.52,SockeyeLate StuartFraserSouth
1966,Sockeye,Late Stuart,Fraser,South,9.03,74.08,SockeyeLate StuartFraserSouth
1967,Sockeye,Late Stuart,Fraser,South,1.63,16.56,SockeyeLate StuartFraserSouth
1968,Sockeye,Late Stuart,Fraser,South,0.39,31.3,SockeyeLate StuartFraserSouth
1969,Sockeye,Late Stuart,Fraser,South,207.01,1625.59,SockeyeLate StuartFraserSouth
1970,Sockeye,Late Stuart,Fraser,South,14.98,70.84,SockeyeLate StuartFraserSouth
1971,Sockeye,Late Stuart,Fraser,South,1.54,66.77,SockeyeLate StuartFraserSouth
1972,Sockeye,Late Stuart,Fraser,South,7.34,17.27,SockeyeLate StuartFraserSouth
1973,Sockeye,Late Stuart,Fraser,South,214.23,606.16,SockeyeLate StuartFraserSouth
1974,Sockeye,Late Stuart,Fraser,South,14.19,43.41,SockeyeLate StuartFraserSouth
1975,Sockeye,Late Stuart,Fraser,South,14.23,196.85,SockeyeLate StuartFraserSouth
1976,Sockeye,Late Stuart,Fraser,South,2.9,3.34,SockeyeLate StuartFraserSouth
1977,Sockeye,Late Stuart,Fraser,South,146.46,1357.74,SockeyeLate StuartFraserSouth
1978,Sockeye,Late Stuart,Fraser,South,12.74,79.45,SockeyeLate StuartFraserSouth
1979,Sockeye,Late Stuart,Fraser,South,31.92,6.85,SockeyeLate StuartFraserSouth
1980,Sockeye,Late Stuart,Fraser,South,0.95,21.44,SockeyeLate StuartFraserSouth
1981,Sockeye,Late Stuart,Fraser,South,249.49,2033.9,SockeyeLate StuartFraserSouth
1982,Sockeye,Late Stuart,Fraser,South,16.76,60.99,SockeyeLate StuartFraserSouth
1983,Sockeye,Late Stuart,Fraser,South,2.25,17.94,SockeyeLate StuartFraserSouth
1984,Sockeye,Late Stuart,Fraser,South,1.23,14.74,SockeyeLate StuartFraserSouth
1985,Sockeye,Late Stuart,Fraser,South,274.62,3507.63,SockeyeLate StuartFraserSouth
1986,Sockeye,Late Stuart,Fraser,South,28.72,816.56,SockeyeLate StuartFraserSouth
1987,Sockeye,Late Stuart,Fraser,South,6.47,380.07,SockeyeLate StuartFraserSouth
1988,Sockeye,Late Stuart,Fraser,South,7.12,208.79,SockeyeLate StuartFraserSouth
1989,Sockeye,Late Stuart,Fraser,South,575.7,5327.12,SockeyeLate StuartFraserSouth
1990,Sockeye,Late Stuart,Fraser,South,189.08,389.19,SockeyeLate StuartFraserSouth
1991,Sockeye,Late Stuart,Fraser,South,76.86,106.49,SockeyeLate StuartFraserSouth
1992,Sockeye,Late Stuart,Fraser,South,19.51,128.96,SockeyeLate StuartFraserSouth
1993,Sockeye,Late Stuart,Fraser,South,1363.83,3776.56,SockeyeLate StuartFraserSouth
1994,Sockeye,Late Stuart,Fraser,South,76.46,114.29,SockeyeLate StuartFraserSouth
1995,Sockeye,Late Stuart,Fraser,South,34.36,131.22,SockeyeLate StuartFraserSouth
1996,Sockeye,Late Stuart,Fraser,South,62.99,1014.98,SockeyeLate StuartFraserSouth
1997,Sockeye,Late Stuart,Fraser,South,907.65,-1,SockeyeLate StuartFraserSouth
1998,Sockeye,Late Stuart,Fraser,South,138.4,-1,SockeyeLate StuartFraserSouth
1950,Sockeye,Nadina,Fraser,South,0.77,5.1,SockeyeNadinaFraserSouth
1951,Sockeye,Nadina,Fraser,South,0.18,0.98,SockeyeNadinaFraserSouth
1952,Sockeye,Nadina,Fraser,South,0.01,0.09,SockeyeNadinaFraserSouth
1953,Sockeye,Nadina,Fraser,South,13.62,162.56,SockeyeNadinaFraserSouth
1954,Sockeye,Nadina,Fraser,South,0.77,4.73,SockeyeNadinaFraserSouth
1955,Sockeye,Nadina,Fraser,South,0.11,3.95,SockeyeNadinaFraserSouth
1956,Sockeye,Nadina,Fraser,South,0.02,4.11,SockeyeNadinaFraserSouth
1957,Sockeye,Nadina,Fraser,South,27.55,116.81,SockeyeNadinaFraserSouth
1958,Sockeye,Nadina,Fraser,South,0.64,5.08,SockeyeNadinaFraserSouth
1959,Sockeye,Nadina,Fraser,South,1.01,17,SockeyeNadinaFraserSouth
1960,Sockeye,Nadina,Fraser,South,0.03,1.18,SockeyeNadinaFraserSouth
1961,Sockeye,Nadina,Fraser,South,17.54,94.42,SockeyeNadinaFraserSouth
1962,Sockeye,Nadina,Fraser,South,1.68,12.05,SockeyeNadinaFraserSouth
1963,Sockeye,Nadina,Fraser,South,7.3,59.65,SockeyeNadinaFraserSouth
1964,Sockeye,Nadina,Fraser,South,0.21,7.74,SockeyeNadinaFraserSouth
1965,Sockeye,Nadina,Fraser,South,11.29,95.02,SockeyeNadinaFraserSouth
1966,Sockeye,Nadina,Fraser,South,1.72,34.01,SockeyeNadinaFraserSouth
1967,Sockeye,Nadina,Fraser,South,7.79,153.07,SockeyeNadinaFraserSouth
1968,Sockeye,Nadina,Fraser,South,1.25,43.96,SockeyeNadinaFraserSouth
1969,Sockeye,Nadina,Fraser,South,27.9,106.26,SockeyeNadinaFraserSouth
1970,Sockeye,Nadina,Fraser,South,3.93,29.88,SockeyeNadinaFraserSouth
1971,Sockeye,Nadina,Fraser,South,14.48,75.45,SockeyeNadinaFraserSouth
1972,Sockeye,Nadina,Fraser,South,2.55,10.73,SockeyeNadinaFraserSouth
1973,Sockeye,Nadina,Fraser,South,16.72,79.73,SockeyeNadinaFraserSouth
1974,Sockeye,Nadina,Fraser,South,3.73,12.48,SockeyeNadinaFraserSouth
1975,Sockeye,Nadina,Fraser,South,15.31,307.35,SockeyeNadinaFraserSouth
1976,Sockeye,Nadina,Fraser,South,1.63,7.26,SockeyeNadinaFraserSouth
1977,Sockeye,Nadina,Fraser,South,16.86,131.85,SockeyeNadinaFraserSouth
1978,Sockeye,Nadina,Fraser,South,2.58,31.25,SockeyeNadinaFraserSouth
1979,Sockeye,Nadina,Fraser,South,55.68,101.37,SockeyeNadinaFraserSouth
1980,Sockeye,Nadina,Fraser,South,3.02,21.37,SockeyeNadinaFraserSouth
1981,Sockeye,Nadina,Fraser,South,18.91,76.8,SockeyeNadinaFraserSouth
1982,Sockeye,Nadina,Fraser,South,2.35,6.78,SockeyeNadinaFraserSouth
1983,Sockeye,Nadina,Fraser,South,26.86,149.73,SockeyeNadinaFraserSouth
1984,Sockeye,Nadina,Fraser,South,7.07,24.92,SockeyeNadinaFraserSouth
1985,Sockeye,Nadina,Fraser,South,13.81,46.85,SockeyeNadinaFraserSouth
1986,Sockeye,Nadina,Fraser,South,3.55,20.84,SockeyeNadinaFraserSouth
1987,Sockeye,Nadina,Fraser,South,37.62,191.04,SockeyeNadinaFraserSouth
1988,Sockeye,Nadina,Fraser,South,8.74,57.74,SockeyeNadinaFraserSouth
1989,Sockeye,Nadina,Fraser,South,4.94,19.82,SockeyeNadinaFraserSouth
1990,Sockeye,Nadina,Fraser,South,6.03,15.08,SockeyeNadinaFraserSouth
1991,Sockeye,Nadina,Fraser,South,61.07,57.72,SockeyeNadinaFraserSouth
1992,Sockeye,Nadina,Fraser,South,7.73,111.21,SockeyeNadinaFraserSouth
1993,Sockeye,Nadina,Fraser,South,9.6,63.34,SockeyeNadinaFraserSouth
1994,Sockeye,Nadina,Fraser,South,2.01,17.38,SockeyeNadinaFraserSouth
1995,Sockeye,Nadina,Fraser,South,24,63.35,SockeyeNadinaFraserSouth
1996,Sockeye,Nadina,Fraser,South,38.65,530.84,SockeyeNadinaFraserSouth
1997,Sockeye,Nadina,Fraser,South,9.5,-1,SockeyeNadinaFraserSouth
1998,Sockeye,Nadina,Fraser,South,3.71,-1,SockeyeNadinaFraserSouth
1950,Sockeye,Pitt,Fraser,South,40.06,146.34,SockeyePittFraserSouth
1951,Sockeye,Pitt,Fraser,South,37.84,120.3,SockeyePittFraserSouth
1952,Sockeye,Pitt,Fraser,South,48.9,72.18,SockeyePittFraserSouth
1953,Sockeye,Pitt,Fraser,South,18.67,25.81,SockeyePittFraserSouth
1954,Sockeye,Pitt,Fraser,South,17.62,51.09,SockeyePittFraserSouth
1955,Sockeye,Pitt,Fraser,South,17.95,166.94,SockeyePittFraserSouth
1956,Sockeye,Pitt,Fraser,South,32.09,70.32,SockeyePittFraserSouth
1957,Sockeye,Pitt,Fraser,South,12.34,29.21,SockeyePittFraserSouth
1958,Sockeye,Pitt,Fraser,South,10.38,16.54,SockeyePittFraserSouth
1959,Sockeye,Pitt,Fraser,South,15.73,62.49,SockeyePittFraserSouth
1960,Sockeye,Pitt,Fraser,South,24.51,33.31,SockeyePittFraserSouth
1961,Sockeye,Pitt,Fraser,South,11.16,103.04,SockeyePittFraserSouth
1962,Sockeye,Pitt,Fraser,South,16.58,57.28,SockeyePittFraserSouth
1963,Sockeye,Pitt,Fraser,South,12.68,142.94,SockeyePittFraserSouth
1964,Sockeye,Pitt,Fraser,South,13.76,192.09,SockeyePittFraserSouth
1965,Sockeye,Pitt,Fraser,South,6.97,38.98,SockeyePittFraserSouth
1966,Sockeye,Pitt,Fraser,South,20.84,77.7,SockeyePittFraserSouth
1967,Sockeye,Pitt,Fraser,South,10.28,67.78,SockeyePittFraserSouth
1968,Sockeye,Pitt,Fraser,South,16.99,105.59,SockeyePittFraserSouth
1969,Sockeye,Pitt,Fraser,South,25.07,61.08,SockeyePittFraserSouth
1970,Sockeye,Pitt,Fraser,South,6.64,55.4,SockeyePittFraserSouth
1971,Sockeye,Pitt,Fraser,South,15.45,217.47,SockeyePittFraserSouth
1972,Sockeye,Pitt,Fraser,South,13.41,138.16,SockeyePittFraserSouth
1973,Sockeye,Pitt,Fraser,South,11.9,43.16,SockeyePittFraserSouth
1974,Sockeye,Pitt,Fraser,South,20.58,118.14,SockeyePittFraserSouth
1975,Sockeye,Pitt,Fraser,South,39.92,65.7,SockeyePittFraserSouth
1976,Sockeye,Pitt,Fraser,South,36.53,105.58,SockeyePittFraserSouth
1977,Sockeye,Pitt,Fraser,South,13.85,34.59,SockeyePittFraserSouth
1978,Sockeye,Pitt,Fraser,South,24.79,34.98,SockeyePittFraserSouth
1979,Sockeye,Pitt,Fraser,South,37.54,38.82,SockeyePittFraserSouth
1980,Sockeye,Pitt,Fraser,South,17.1,16.91,SockeyePittFraserSouth
1981,Sockeye,Pitt,Fraser,South,25.33,40.38,SockeyePittFraserSouth
1982,Sockeye,Pitt,Fraser,South,8.71,18.27,SockeyePittFraserSouth
1983,Sockeye,Pitt,Fraser,South,16.85,62.05,SockeyePittFraserSouth
1984,Sockeye,Pitt,Fraser,South,15.8,75.99,SockeyePittFraserSouth
1985,Sockeye,Pitt,Fraser,South,3.56,23.21,SockeyePittFraserSouth
1986,Sockeye,Pitt,Fraser,South,29.18,40,SockeyePittFraserSouth
1987,Sockeye,Pitt,Fraser,South,13.64,22.49,SockeyePittFraserSouth
1988,Sockeye,Pitt,Fraser,South,37.75,62.5,SockeyePittFraserSouth
1989,Sockeye,Pitt,Fraser,South,16.04,18.19,SockeyePittFraserSouth
1990,Sockeye,Pitt,Fraser,South,12.2,9.64,SockeyePittFraserSouth
1991,Sockeye,Pitt,Fraser,South,22.5,31.82,SockeyePittFraserSouth
1992,Sockeye,Pitt,Fraser,South,9.13,94.35,SockeyePittFraserSouth
1993,Sockeye,Pitt,Fraser,South,22.84,105.19,SockeyePittFraserSouth
1994,Sockeye,Pitt,Fraser,South,9.5,36.27,SockeyePittFraserSouth
1995,Sockeye,Pitt,Fraser,South,5.5,53.15,SockeyePittFraserSouth
1996,Sockeye,Pitt,Fraser,South,50.08,161.88,SockeyePittFraserSouth
1997,Sockeye,Pitt,Fraser,South,35.8,-1,SockeyePittFraserSouth
1998,Sockeye,Pitt,Fraser,South,76.89,-1,SockeyePittFraserSouth
1951,Sockeye,Portage,Fraser,South,0.03,0.24,SockeyePortageFraserSouth
1953,Sockeye,Portage,Fraser,South,0.05,0.39,SockeyePortageFraserSouth
1954,Sockeye,Portage,Fraser,South,3.37,38.7,SockeyePortageFraserSouth
1955,Sockeye,Portage,Fraser,South,0.04,4.39,SockeyePortageFraserSouth
1957,Sockeye,Portage,Fraser,South,0.04,0.05,SockeyePortageFraserSouth
1958,Sockeye,Portage,Fraser,South,4.79,25.65,SockeyePortageFraserSouth
1959,Sockeye,Portage,Fraser,South,0.57,5.57,SockeyePortageFraserSouth
1961,Sockeye,Portage,Fraser,South,0.02,2.72,SockeyePortageFraserSouth
1962,Sockeye,Portage,Fraser,South,11.94,72.18,SockeyePortageFraserSouth
1963,Sockeye,Portage,Fraser,South,2.01,58.44,SockeyePortageFraserSouth
1964,Sockeye,Portage,Fraser,South,0.01,0.62,SockeyePortageFraserSouth
1965,Sockeye,Portage,Fraser,South,0.98,3.46,SockeyePortageFraserSouth
1966,Sockeye,Portage,Fraser,South,31.34,31.34,SockeyePortageFraserSouth
1967,Sockeye,Portage,Fraser,South,4.03,4.29,SockeyePortageFraserSouth
1968,Sockeye,Portage,Fraser,South,0.09,1.05,SockeyePortageFraserSouth
1969,Sockeye,Portage,Fraser,South,0.96,34.61,SockeyePortageFraserSouth
1970,Sockeye,Portage,Fraser,South,3.87,58.07,SockeyePortageFraserSouth
1971,Sockeye,Portage,Fraser,South,0.28,18.04,SockeyePortageFraserSouth
1972,Sockeye,Portage,Fraser,South,0.19,15.28,SockeyePortageFraserSouth
1973,Sockeye,Portage,Fraser,South,3.96,68.69,SockeyePortageFraserSouth
1974,Sockeye,Portage,Fraser,South,8.48,41.58,SockeyePortageFraserSouth
1975,Sockeye,Portage,Fraser,South,3.18,13.55,SockeyePortageFraserSouth
1976,Sockeye,Portage,Fraser,South,1.04,8.04,SockeyePortageFraserSouth
1977,Sockeye,Portage,Fraser,South,7.61,39.99,SockeyePortageFraserSouth
1978,Sockeye,Portage,Fraser,South,9.98,111.75,SockeyePortageFraserSouth
1979,Sockeye,Portage,Fraser,South,3.58,52.69,SockeyePortageFraserSouth
1980,Sockeye,Portage,Fraser,South,1.8,12.23,SockeyePortageFraserSouth
1981,Sockeye,Portage,Fraser,South,5.86,20.07,SockeyePortageFraserSouth
1982,Sockeye,Portage,Fraser,South,23.87,210.98,SockeyePortageFraserSouth
1983,Sockeye,Portage,Fraser,South,7.75,37.36,SockeyePortageFraserSouth
1984,Sockeye,Portage,Fraser,South,1.71,50.57,SockeyePortageFraserSouth
1985,Sockeye,Portage,Fraser,South,1.77,25.84,SockeyePortageFraserSouth
1986,Sockeye,Portage,Fraser,South,14.29,71.59,SockeyePortageFraserSouth
1987,Sockeye,Portage,Fraser,South,6.82,63.04,SockeyePortageFraserSouth
1988,Sockeye,Portage,Fraser,South,1.07,21.1,SockeyePortageFraserSouth
1989,Sockeye,Portage,Fraser,South,7.9,199.35,SockeyePortageFraserSouth
1990,Sockeye,Portage,Fraser,South,18.34,50.96,SockeyePortageFraserSouth
1991,Sockeye,Portage,Fraser,South,12.05,15.74,SockeyePortageFraserSouth
1992,Sockeye,Portage,Fraser,South,2.71,17.43,SockeyePortageFraserSouth
1993,Sockeye,Portage,Fraser,South,19.76,175.84,SockeyePortageFraserSouth
1994,Sockeye,Portage,Fraser,South,9.27,122.6,SockeyePortageFraserSouth
1995,Sockeye,Portage,Fraser,South,7.88,40.08,SockeyePortageFraserSouth
1996,Sockeye,Portage,Fraser,South,3.42,88.53,SockeyePortageFraserSouth
1997,Sockeye,Portage,Fraser,South,9.77,-1,SockeyePortageFraserSouth
1998,Sockeye,Portage,Fraser,South,25.18,-1,SockeyePortageFraserSouth
1950,Sockeye,Raft,Fraser,South,6.4,45.56,SockeyeRaftFraserSouth
1951,Sockeye,Raft,Fraser,South,8.54,47.65,SockeyeRaftFraserSouth
1952,Sockeye,Raft,Fraser,South,15.62,51.18,SockeyeRaftFraserSouth
1953,Sockeye,Raft,Fraser,South,7.9,32.12,SockeyeRaftFraserSouth
1954,Sockeye,Raft,Fraser,South,9.99,50.49,SockeyeRaftFraserSouth
1955,Sockeye,Raft,Fraser,South,5.08,60.52,SockeyeRaftFraserSouth
1956,Sockeye,Raft,Fraser,South,9.04,27.14,SockeyeRaftFraserSouth
1957,Sockeye,Raft,Fraser,South,6.86,21.02,SockeyeRaftFraserSouth
