Major Popn Group,Population,Year,Spawners (total),Spawners (natural origin),Spawners (hatchery origin),Broodstock take,Harvest,Harvest rate,Prop of age-3,Prop of age-4,Prop of age-5,Prop of age-6,Brood year recruits,R per natural-origin spawner,R per total spawner
Grande Ronde R,Lostine,1971,797,797,0,0,320,0.33,0.18,0.64,0.18,0,275,0.35,0.35
Grande Ronde R,Lostine,1972,1169,1169,0,0,1251,0.53,0.05,0.15,0.8,0,760,0.65,0.65
Grande Ronde R,Lostine,1973,1263,1263,0,0,1464,0.54,0,0.46,0.54,0,1298,1.03,1.03
Grande Ronde R,Lostine,1974,947,947,0,0,551,0.37,0,0.5,0.5,0,179,0.19,0.19
Grande Ronde R,Lostine,1975,328,328,0,0,0,0,0,0.38,0.63,0,157,0.48,0.48
Grande Ronde R,Lostine,1976,664,664,0,0,172,0.22,0.05,0.77,0.18,0,132,0.2,0.2
Grande Ronde R,Lostine,1977,221,221,0,0,103,0.34,0.07,0.57,0.36,0,260,1.18,1.18
Grande Ronde R,Lostine,1978,1097,1097,0,0,68,0.06,0,0.08,0.92,0,690,0.63,0.63
Grande Ronde R,Lostine,1979,157,157,0,0,19,0.12,0.07,0.57,0.36,0,258,1.64,1.64
Grande Ronde R,Lostine,1980,155,155,0,0,4,0.03,0.07,0.57,0.36,0,542,3.5,3.5
Grande Ronde R,Lostine,1981,76,76,0,0,5,0.07,0.07,0.57,0.36,0,649,8.54,8.54
Grande Ronde R,Lostine,1982,520,520,0,0,45,0.09,0.07,0.57,0.36,0,414,0.8,0.8
Grande Ronde R,Lostine,1983,375,375,0,0,37,0.09,0,0.12,0.88,0,775,2.07,2.07
Grande Ronde R,Lostine,1984,492,492,0,0,54,0.1,0,0.69,0.31,0,179,0.36,0.36
Grande Ronde R,Lostine,1985,675,675,0,0,47,0.07,0.04,0.73,0.23,0,60,0.09,0.09
Grande Ronde R,Lostine,1986,419,323,96,0,27,0.08,0.02,0.63,0.35,0,146,0.35,0.45
Grande Ronde R,Lostine,1987,640,435,205,0,37,0.08,0,0.65,0.35,0,37,0.06,0.09
Grande Ronde R,Lostine,1988,975,532,443,0,83,0.14,0,0.25,0.75,0,251,0.26,0.47
Grande Ronde R,Lostine,1989,296,70,226,0,7,0.1,0.08,0.58,0.33,0,86,0.29,1.23
Grande Ronde R,Lostine,1990,95,57,38,0,7,0.12,0,0.75,0.25,0,21,0.22,0.37
Grande Ronde R,Lostine,1991,163,106,57,0,11,0.1,0,0.21,0.79,0,38,0.23,0.36
Grande Ronde R,Lostine,1992,196,49,147,0,4,0.08,0,0.76,0.24,0,103,0.53,2.1
Grande Ronde R,Lostine,1993,501,246,255,0,18,0.07,0,0.2,0.8,0,193,0.39,0.78
Grande Ronde R,Lostine,1994,67,50,17,0,5,0.1,0,0.39,0.61,0,187,2.79,3.74
Grande Ronde R,Lostine,1995,37,37,0,0,1,0.05,0.11,0.89,0,0,159,4.3,4.3
Grande Ronde R,Lostine,1996,96,96,0,0,4,0.05,0.05,0.91,0.05,0,335,3.49,3.49
Grande Ronde R,Lostine,1997,191,183,8,0,13,0.07,0.07,0.89,0.04,0,781,4.09,4.27
Grande Ronde R,Lostine,1998,193,193,0,0,10,0.06,0.1,0.83,0.07,0,807,4.18,4.18
Grande Ronde R,Lostine,1999,132,120,12,0,5,0.04,0,0.96,0.04,0,318,2.41,2.65
Grande Ronde R,Lostine,2000,388,290,98,22,15,0.06,0.12,0.83,0.06,0,411,1.06,1.42
Grande Ronde R,Lostine,2001,689,548,141,68,91,0.15,0.01,0.9,0.09,0,249,0.36,0.45
Grande Ronde R,Lostine,2002,897,469,428,53,65,0.13,0.03,0.8,0.17,0,334,0.37,0.71
Grande Ronde R,Lostine,2003,894,489,405,41,47,0.09,0.06,0.4,0.53,0.01,NA,NA,NA
Grande Ronde R,Lostine,2004,963,343,620,46,35,0.11,0.09,0.74,0.11,0.06,NA,NA,NA
Grande Ronde R,Lostine,2005,694,168,526,34,11,0.08,0.11,0.63,0.15,0.11,NA,NA,NA
Grande Ronde R,Lostine,2006,521,213,308,33,14,0.08,0.06,0.7,0.12,0.12,NA,NA,NA
Grande Ronde R,Lostine,2007,443,213,230,41,17,0.09,0,0.57,0.27,0.17,NA,NA,NA
Grande Ronde R,Lostine,2008,1778,770,1008,42,127,0.16,0.08,0.75,0.11,0.06,NA,NA,NA
Grande Ronde R,Lostine,2009,1240,577,663,48,NA,NA,0.1,0.76,0.1,0.04,NA,NA,NA
Grande Ronde R,Minam,1954,794,794,0,0,NA,NA,0.1,0.6,0.3,0,2585,3.26,3.26
Grande Ronde R,Minam,1955,1082,1082,0,0,NA,NA,0.13,0.65,0.22,0,4072,3.76,3.76
Grande Ronde R,Minam,1956,2020,2020,0,0,NA,NA,0.23,0.57,0.19,0,1987,0.98,0.98
Grande Ronde R,Minam,1957,4104,4104,0,0,4429,0.54,0.08,0.71,0.21,0,1670,0.41,0.41
Grande Ronde R,Minam,1958,305,305,0,0,939,0.77,0.06,0.84,0.09,0,2956,9.69,9.69
Grande Ronde R,Minam,1959,1984,1984,0,0,3061,0.63,0.08,0.75,0.17,0,1635,0.82,0.82
Grande Ronde R,Minam,1960,898,898,0,0,1044,0.57,0.13,0.76,0.11,0,1505,1.68,1.68
Grande Ronde R,Minam,1961,438,438,0,0,334,0.47,0.14,0.73,0.14,0,2319,5.29,5.29
Grande Ronde R,Minam,1962,1474,1474,0,0,1945,0.6,0.11,0.64,0.25,0,1688,1.15,1.15
Grande Ronde R,Minam,1963,778,778,0,0,1057,0.6,0.09,0.55,0.36,0,507,0.65,0.65
Grande Ronde R,Minam,1964,1003,1003,0,0,925,0.54,0.23,0.65,0.13,0,1049,1.05,1.05
Grande Ronde R,Minam,1965,869,869,0,0,1310,0.64,0.15,0.81,0.04,0,1951,2.25,2.25
